"Please select all required image tags","請選取所有必填的圖片標籤"
"Please select all required image tags:(%1)","請選取所有必填的圖片標籤，缺少項目：(%1)"
"Combinations have been re-generated. Please click ""Manage Variations"" check Cost/Stock/SKU/Price for all Variations before saving!","組合已重新生成。請點擊“管理規格”並在保存之前檢查所有變體的成本/庫存/SKU/價格！"
"Duplicate value detected.","偵測到重複的值。"
"Warning:","警告:"
"No option available.","沒有可用的選項。"
"Something went wrong.","發生錯誤。"
"Combination can not be created, don't use same option title for mutiple options.","無法創建組合，請勿對多個選項使用相同的選項標題。"
"The product has been modified. Please complete the 'Submit for Approval' process before creating a new schedule. Creating a new schedule is not allowed at this stage.","商品已有變更，新增排程請先完成「申請審核」，並且無法新增排程。"
